KabeZeku,Ken,202956,Japan,1907031
usagi,Marisa,202861,Japan,1291135
あめあめ,Dee Jay,202803,Japan,1286104
伊予 I-yo,Dhalsim,202776,Japan,1024307
筋肉fire!,Marisa,202768,Japan,1124248
大統領マルモリ,Dee Jay,202739,Japan,1663377
黒虎えびお,Cammy,202714,Japan,807232
しのちゃんマン,Dee Jay,202712,Japan,879797
鱼头，参上,Dee Jay,202696,China,1987640
velicoso,Cammy,202544,Cuba,1610910
どくけし草,Cammy,202505,Japan,783775
Gustavo_SJ,Rashid,202460,Brazil,1306441
ezaboy,Guile,202276,Japan,1206789
Laplace/キチパ,Zangief,202228,Japan,848525
4kani,Chun-Li,202138,Japan,749186
もなか@S_zwei,Marisa,202136,Japan,1562576
SeoFGC,JP,202132,Singapore,1362526
michitaka,Dee Jay,202111,Japan,1784553
takino22,Manon,202106,Japan,1401575
hirokami-pc,Ryu,202097,Japan,2353750
KXGENOCIDE,Cammy,202079,Algeria,969466
Asaya,Cammy,202070,Japan,1143629
ここでボクが投了！,Blanka,202022,Japan,2581000
ISASAKA,A.K.I.,202019,Japan,1725228
禅＠パパ,Guile,201998,Japan,1616425
NeroTheBoxer,Dee Jay,201988,Peru,1113201
近代において人間は基本的に自由,Manon,201977,Japan,2310256
inui06310,Cammy,201968,Japan,1523754
torowaSF6,Kimberly,201963,Japan,721502
||s||,Juri,201918,Mexico,1277294
yuu_,Ken,201915,Japan,2472824
DJ_iPad,Luke,201897,Other,3301944
ThreeDollars,Kimberly,201860,Jamaica,1197795
LAPLACE｜Vanao,Blanka,201850,Japan,2081154
かずしボンバー,Ken,201831,Japan,3600399
プルプルなぷる,Ken,201822,Other,1994357
西木寸.,Rashid,201774,Japan,1092707
shallot2333,Jamie,201717,China,2225787
DosukoEsports,Edmond Honda,201628,Japan,1751589
ミチカワピクミン,Luke,201582,Other,1690950
hikaru_shiftne,Manon,201505,Japan,2121920
SICKLE 9,JP,201486,United States,1389842
OrangeMan,Dee Jay,201458,Canada,1701917
KenseiChan,Ken,201431,Japan,2212724
Cam & SumBud,Guile,201392,United States,894314
makoto,Cammy,201360,Japan,1094073
Celfcool,Dee Jay,201300,Venezuela,1030499
ごーまるご,Luke,201296,Japan,2370221
Evilcraa,Guile,201293,Chile,703066
アンジュルム非公式アンバサダー,Kimberly,201253,Japan,1373869
HASUMI,Juri,201252,Japan,631035
imcbmoc,Luke,201246,United States,2039710
Kona,Dhalsim,201231,Japan,1006446
popollo,Luke,201210,Japan,1177483
RXBD,JP,201195,Other,1210881
ゴトーー,Ken,201107,Japan,1930005
カクハラです,Manon,201089,Other,1836977
Sandbag18,Ken,201035,South Korea,962255
pandasaku,Juri,200974,China,1431767
ヒカズゲ,Marisa,200934,Japan,1422853
WillyHsu7,Marisa,200930,Other,0
39OOM209,Jamie,200894,Oman,1786620
kinoko_noko_p,Cammy,200883,Japan,792652
Vini,Jamie,200883,Brazil,1288649
魚群なるお,Luke,200815,Japan,2508325
ねじまき鳥クロニクル,Dhalsim,200796,Japan,2015442
ヨコシマ,A.K.I.,200767,Japan,2216763
Naji,Juri,200650,United States,823736
Scholar,Rashid,200607,United States,1285543
USGYGaru,Guile,200598,Japan,952241
kazaKEN,Blanka,200542,Russia,917649
Giyu_PC,Juri,200417,United States,908894
Kanichahan,Cammy,200320,Japan,1504294
gauni,Zangief,200221,Japan,1600849
Major Twinkie,Dee Jay,200212,United States,1147862
